"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料月份","非獨董監持股(萬張)","非獨董監增減張數","非獨董監持股(%)","非獨董監質押(萬張)","非獨董監質押(%)","獨立董監持股(萬張)","獨立董監增減張數","獨立董監持股(%)","獨立董監質押(萬張)","獨立董監質押(%)","全體董監持股(萬張)","全體董監增減張數","全體董監持股(%)","全體董監質押(萬張)","全體董監質押(%)"
"1","4113","聯上","22.35","+0.35","+1.59%","15M04","1.66","-9","11.5%","0.67","40.4%","0.06","0","0.41%","0","0%","1.72","-9","11.9%","0.67","39%"
"2","2331","精英","30.8","+0.4","+1.32%","15M04","22.25","0","39.9%","0","0%","0","0","0%","0","0%","22.25","0","39.9%","0","0%"
"3","4930","燦星網","25.8","-0.2","-0.77%","15M04","5.96","0","44.4%","1.61","27%","0","0","0%","0","0%","5.96","0","44.4%","1.61","27%"
"4","6023","元大期","50.2","+1.6","+3.29%","15M04","15.95","0","68.7%","0","0%","0","0","0%","0","0%","15.95","0","68.7%","0","0%"
"5","5508","永信建","60","+0.3","+0.5%","15M04","7.56","0","41.7%","0","0%","0","0","0%","0","0%","7.56","0","41.7%","0","0%"
"6","6219","富旺","17.9","+0.05","+0.28%","15M04","4.62","0","30.8%","0","0%","0","0","0%","0","0%","4.62","0","30.8%","0","0%"
"7","5015","華祺","22.9","-0.05","-0.22%","15M04","1.26","0","20.8%","0.07","5.41%","0","0","0%","0","0%","1.26","0","20.8%","0.07","5.41%"
"8","6177","達麗","40.85","-0.2","-0.49%","15M04","2.19","0","12.8%","0","0%","0","0","0%","0","0%","2.19","0","12.8%","0","0%"
"9","3312","弘憶股","11.7","+0.05","+0.43%","15M04","1.4","-100","14.7%","0","0%","0","0","0%","0","0%","1.4","-100","14.7%","0","0%"
"10","1808","潤隆","33.45","+0.2","+0.6%","15M04","3.02","0","14.1%","0","0%","0","0","0%","0","0%","3.02","0","14.1%","0","0%"
"11","6431","F-光麗","21","+0.1","+0.48%","15M04","2.17","0","47.5%","0","0%","0","0","0%","0","0%","2.17","0","47.5%","0","0%"
"12","2597","潤弘","65.1","+0.1","+0.15%","15M04","7.5","+4","55.5%","0","0%","0","0","0%","0","0%","7.5","+4","55.5%","0","0%"
"13","6188","廣明","29.15","+0.25","+0.87%","15M04","8.7","0","31.3%","0","0%","0","0","0%","0","0%","8.7","0","31.3%","0","0%"
"14","5464","霖宏","20.4","+0.15","+0.74%","15M04","2.24","0","31.5%","0","0%","0","0","0%","0","0%","2.24","0","31.5%","0","0%"
"15","6186","新潤","27.9","0","0%","15M04","1.25","0","19.1%","0","0%","0","0","0%","0","0%","1.25","0","19.1%","0","0%"
"16","5514","三豐","19.15","-0.2","-1.03%","15M04","2.97","+1","19.3%","0","0%","0","0","0%","0","0%","2.97","+1","19.3%","0","0%"
"17","4542","科嶠","38.45","+0.3","+0.79%","15M03","0.41","0","16%","0","0%","0","0","0%","0","0%","0.41","0","16%","0","0%"
"18","2104","中橡","31.95","+0.2","+0.63%","15M04","8.28","0","15.1%","0.2","2.41%","0","0","0%","0","0%","8.28","0","15.1%","0.2","2.41%"
"19","3666","光耀","29.7","-0.1","-0.34%","15M04","2.35","0","47.7%","0","0%","0","0","0%","0","0%","2.35","0","47.7%","0","0%"
"20","3056","總太","19.85","-0.05","-0.25%","15M04","5","-475","28.9%","0","0%","0","0","0%","0","0%","5","-475","28.9%","0","0%"
"21","5522","遠雄","38.35","+0.85","+2.27%","15M04","13","0","15.6%","6.35","48.9%","0","0","0%","0","0%","13","0","15.6%","6.35","48.9%"
"22","2493","揚博","28.6","+0.15","+0.53%","15M04","2.19","0","19.1%","0","0%","0","0","0%","0","0%","2.19","0","19.1%","0","0%"
"23","2545","皇翔","41","+0.3","+0.74%","15M04","9.43","0","28.8%","0","0%","0","0","0%","0","0%","9.43","0","28.8%","0","0%"
"24","6298","崴強","20.55","-0.05","-0.24%","15M04","5.7","0","33.7%","0","0%","0","0","0%","0","0%","5.7","0","33.7%","0","0%"
"25","2537","聯上發","10.3","0","0%","15M04","6.75","0","27.3%","0.28","4.14%","0","0","0%","0","0%","6.75","0","27.3%","0.28","4.14%"
"26","5511","德昌","27.65","+0.05","+0.18%","15M04","3.85","0","25.4%","0","0%","0","0","0%","0","0%","3.85","0","25.4%","0","0%"
"27","6168","宏齊","15.95","+0.25","+1.59%","15M04","5.68","-827","27.7%","0","0%","0","0","0%","0","0%","5.68","-827","27.7%","0","0%"
"28","2227","裕日車","321","-4","-1.23%","15M04","26.54","0","88.5%","0","0%","0","0","0%","0","0%","26.54","0","88.5%","0","0%"
