"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料年度","政府機構(%)","政府機構增減","僑外投資(%)","僑外投資增減","本國金融機構(%)","本國金融機構增減","本國法人(%)","本國法人增減","本國個人(%)","本國個人增減","庫藏股票(%)","庫藏股票增減"
"1","2330","台積電","145.5","0","0%","2014","6.4%","0","77.8%","+0.41","3.9%","-0.08","3.1%","+0.36","8.9%","-0.68","0%","0"
"2","2317","鴻海","96.5","-0.5","-0.52%","2014","3%","+0.91","49%","+3.96","5.7%","-0.37","2.9%","-0.48","39.5%","-4.02","0%","0"
"3","2412","中華電","98.2","+0.6","+0.61%","2014","38.1%","-0.19","14.7%","-0.49","24.7%","-1.46","2.8%","+0.27","19.8%","+1.87","0%","0"
"4","6505","台塑化","78.6","+0.5","+0.64%","2014","0.2%","+0.08","7.8%","+0.56","0.9%","+0.23","88.4%","-0.89","2.7%","+0.02","0%","0"
"5","2882","國泰金","53.8","+0.3","+0.56%","2014","4.3%","+0.65","24.3%","+4.99","4.1%","-0.76","41.1%","-0.03","26.3%","-3.01","0%","-1.84"
"6","2454","聯發科","410","+10","+2.5%","2014","0%","0","60.5%","+11.6","8.1%","-1.53","6.1%","-1.26","25.3%","-8.83","0%","0"
"7","2881","富邦金","62.8","+0.5","+0.8%","2014","18.9%","-0.36","30.2%","+5.53","4.5%","+1.21","22.3%","-3.3","24%","-3.08","0%","0"
"8","1303","南亞","73.5","+0.9","+1.24%","2015","0.5%","+0.15","29.5%","+2.05","5.9%","+1.16","40.1%","-2.57","24%","-0.79","0%","0"
"9","1301","台塑","77.4","+2.3","+3.06%","2015","0.7%","+0.4","34.5%","+0.63","8.2%","+0.01","32.9%","-0.77","23.7%","-0.28","0%","0"
"10","3008","大立光","3460","+155","+4.69%","2014","5.1%","+0.69","40.3%","+15","15.7%","-2.18","0.2%","-0.53","38.6%","-13","0%","0"
"11","1326","台化","78.4","+1.4","+1.82%","2014","0.4%","+0.26","35.1%","-0.31","6.7%","+0.18","35.9%","-0.04","21.9%","-0.1","0%","0"
"12","2308","台達電","170.5","+0.5","+0.29%","2014","0.2%","-0.01","75.3%","+1.12","8.3%","+0.39","1.4%","-0.09","14.8%","-1.4","0%","0"
"13","2002","中鋼","25.5","+0.05","+0.2%","2014","20.1%","0","13.9%","+0.56","11.9%","+0.43","9.2%","+0.28","44.9%","-1.27","0%","0"
"14","3045","台灣大","106.5","+0.5","+0.47%","2014","4%","+0.58","31.4%","-4.09","12.9%","+1.1","40%","+0.88","11.8%","+1.53","0%","0"
"15","2891","中信金","22.9","+0.4","+1.78%","2015","0%","0","47.4%","+6.9","12.6%","-4.27","14.1%","-0.37","25.8%","-2.25","0%","-0.01"
"16","2311","日月光","43","+0.7","+1.65%","2014","2.9%","-2.13","75.7%","+17","2.2%","-1.18","7.1%","-3.76","12.2%","-9.93","0%","0"
"17","2886","兆豐金","26.95","-0.05","-0.19%","2014","19.3%","-0.13","37.3%","-0.12","18%","-0.76","7.8%","+0.91","17.5%","+0.1","0%","0"
"18","2382","廣達","78.4","+0.2","+0.26%","2015","0%","0","38%","-2.34","10.8%","+1.85","26.1%","+0.84","25.1%","-0.35","0%","0"
"19","1216","統一","54.1","0","0%","2014","3.9%","+1.17","45.3%","-5.59","2%","+1.5","12.9%","-0.26","36%","+3.18","0%","0"
"20","2474","可成","353","+9","+2.62%","2014","0%","0","52%","+24.8","11.8%","-1.72","12.3%","-2.08","23.9%","-21","0%","0"
"21","2207","和泰車","496","+2","+0.4%","2014","0.1%","+0.07","23%","+0.56","0%","0","64.5%","+0.55","12.4%","-1.18","0%","0"
"22","4904","遠傳","72","-0.1","-0.14%","2014","2.5%","+0.35","27.5%","-6.03","22.3%","+4.08","43.8%","+0.27","4%","+1.32","0%","0"
"23","3474","華亞科","35.35","+1.25","+3.67%","2015","1.1%","+0.62","49.4%","+3.43","2.7%","+0.58","33.8%","-4.6","13%","-0.03","0%","0"
"24","2912","統一超","222.5","+9","+4.22%","2014","0%","0","42.6%","-0.12","0%","+0.01","53.9%","+0.64","3.5%","-0.53","0%","0"
"25","2357","華碩","306","+3.5","+1.16%","2014","0%","0","57.1%","+0.44","9.5%","-0.46","4.7%","-1.1","28.7%","+1.11","0%","0"
"26","2105","正新","69.7","-0.2","-0.29%","2015","6.1%","-1.28","13.5%","-1.95","8%","+2.82","7.8%","+2.01","64.7%","-1.61","0%","+0.01"
"27","4938","和碩","89.5","+0.9","+1.02%","2014","0%","0","35.2%","-1.68","11.1%","+2.37","23.9%","-3.57","29.8%","+2.9","0%","-0.02"
"28","2883","開發金","11.95","0","0%","2014","0%","0","22.4%","+2.69","9.4%","-1.04","17.1%","+1.24","51.2%","-1.92","0%","-0.96"
"29","1402","遠東新","34","+0.6","+1.8%","2014","4.5%","-0.24","20.8%","+0.86","13.9%","+0.16","46.9%","-0.02","13.9%","-0.75","0%","0"
"30","2303","聯電","13.9","+0.1","+0.72%","2014","1%","+0.31","41.2%","+1.22","6.2%","+2.56","11.4%","+0.32","38.6%","-2.93","1.6%","-1.48"
"31","3481","群創","17.8","0","0%","2014","0.1%","-1.06","28.4%","-1.73","6%","-0.3","25.3%","-7.71","40.2%","+10.8","0%","0"
"32","2892","第一金","19.05","+0.05","+0.26%","2014","19%","-0.45","20.9%","+1.41","19.5%","+0.33","5.1%","-0.06","35.5%","-1.23","0%","0"
"33","2885","元大金","17.35","+0.05","+0.29%","2014","4.1%","+1.05","32.5%","-2.16","11.9%","+1.96","27%","+0.06","24.6%","-0.86","0%","-0.04"
"34","5880","合庫金","16.4","+0.1","+0.61%","2014","30.6%","0","15.9%","+2.52","3.2%","-3.22","21.9%","+0.27","28.4%","+0.43","0%","0"
"35","2880","華南金","18.45","+0.1","+0.54%","2015","2.3%","-0.18","18.5%","+3.12","33.8%","-1.93","22.3%","+0.06","23%","-1.07","0%","0"
"36","2408","南亞科","68.3","+3.1","+4.75%","2014","0%","0","5.4%","-0.02","0%","0","88.4%","-0.84","6.3%","+0.87","0%","0"
"37","3658","漢微科","2295","+35","+1.55%","2014","0%","0","53.3%","+15.1","3.4%","-1.43","33.7%","-5.37","9.5%","-8.32","0%","0"
"38","2409","友達","16.6","+0.4","+2.47%","2014","0%","-0.2","27.5%","-0.71","9%","-1.84","15%","-0.87","48.4%","+3.61","0%","0"
"39","2325","矽品","49.9","-0.6","-1.19%","2014","0%","0","57.2%","+1.85","11.3%","-1.73","11.1%","+4.1","20.4%","-3","0%","-1.22"
"40","1101","台泥","41.75","+0.05","+0.12%","2014","0.3%","0","39.2%","+3.87","14.3%","-0.81","26.9%","-0.15","19.4%","-2.92","0%","0"
