排名,代號,名稱,持股資料年度,政府機構(%),僑外投資(%),本國金融機構(%),本國法人(%),本國個人(%),庫藏股票(%)
21,2207,和泰車,2014,0.1%,23%,0%,64.5%,12.4%,0%
31,3481,群創,2014,0.1%,28.4%,6%,25.3%,40.2%,0%
102,2327,國巨,2014,0.1%,63.2%,1.4%,4.2%,30.5%,0.7%
122,3105,穩懋,2014,0.1%,4.1%,10.3%,11.4%,74.1%,0%
135,1605,華新,2014,0.1%,29.7%,1.8%,10.9%,56.8%,0.7%
137,3044,健鼎,2014,0.1%,45.5%,9.1%,16.9%,28.5%,0%
153,2838,聯邦銀,2014,0.1%,3%,0.2%,77.9%,18.8%,0%
162,2101,南港,2014,0.1%,10.8%,1.7%,38.9%,43.3%,5.2%
182,6116,彩晶,2014,0.1%,11.5%,1.1%,21.4%,65.9%,0%
191,1736,喬山,2015,0.1%,7.2%,2.1%,3.5%,87.1%,0%
218,2607,榮運,2014,0.1%,4.4%,1%,50.2%,44.3%,0%
228,5534,長虹,2014,0.1%,16.6%,9.3%,45.2%,28.8%,0%
230,2331,精英,2015,0.1%,18.5%,0%,48.4%,33%,0%
231,3022,威強電,2014,0.1%,6%,5.9%,11.3%,76.7%,0%
236,2371,大同,2014,0.1%,15.8%,7.4%,14%,62.7%,0%
254,5263,智崴,2015,0.1%,3.4%,4.7%,25.7%,66%,0%
284,3010,華立,2014,0.1%,21%,7.1%,21%,50.8%,0%
292,9908,大台北,2014,0.1%,3.7%,12.4%,44.9%,38.9%,0%
363,3703,欣陸,2014,0.1%,28.7%,0.5%,31.7%,39%,0%
367,5434,崇越,2014,0.1%,15.5%,8.1%,2.7%,73.6%,0%
375,9905,大華,2015,0.1%,4.8%,8%,42.4%,44.7%,0%
391,2841,台開,2014,0.1%,8.9%,5.6%,22.7%,57.8%,4.9%
397,3607,谷崧,2014,0.1%,8.5%,11.2%,0.5%,79.7%,0%
404,1310,台苯,2014,0.1%,7.4%,1.7%,13.7%,77%,0%
414,2345,智邦,2014,0.1%,21%,3.4%,13.4%,62.2%,0%
417,3059,華晶科,2014,0.1%,19.7%,2.2%,22.2%,53.9%,2.1%
449,4306,炎洲,2015,0.1%,5.1%,0%,22.9%,71.5%,0.5%
463,3515,華擎,2014,0.1%,1.5%,8.3%,65.7%,24.3%,0%
471,2340,光磊,2014,0.1%,19.4%,0.5%,8.7%,71.3%,0%
472,2367,燿華,2014,0.1%,13.7%,0%,15.3%,70.4%,0.5%
474,2114,鑫永銓,2015,0.1%,2.8%,9.9%,19.4%,67.8%,0%
475,8081,致新,2014,0.1%,21.1%,13.3%,21.5%,43.9%,0%
