
"105年03月 31日  個股日本益比、殖利率及股價淨值比 (依證券代碼排序查詢)"
"證券代號","證券名稱","本益比","殖利率(%)","股價淨值比"
"1101","台泥","17.70","4.22","1.06"
"1102","亞泥","20.28","3.74","0.73"
"1103","嘉泥","27.76","3.18","0.49"
"1104","環泥","10.07","4.92","0.89"
"1108","幸福","8.84","8.29","0.86"
"1109","信大","198.60","2.01","0.69"
"1110","東泥","60.60","1.32","1.00"
"1201","味全","-","0.00","1.72"
"1203","味王","19.24","4.64","1.21"
"1210","大成","23.91","4.81","1.04"
"1213","大飲","57.34","5.45","1.39"
"1215","卜蜂","9.65","8.06","1.31"
"1216","統一","22.78","3.54","3.33"
"1217","愛之味","80.80","0.00","0.73"
"1218","泰山","34.58","0.00","1.24"
"1219","福壽","49.35","2.35","1.28"
"1220","台榮","15.75","4.74","0.87"
"1225","福懋油","12.18","3.22","2.16"
"1227","佳格","23.00","3.26","4.72"
"1229","聯華","12.74","7.16","0.89"
"1231","聯華食","12.28","5.57","1.57"
"1232","大統益","13.84","6.34","3.45"
"1233","天仁","16.67","5.19","2.40"
"1234","黑松","22.92","4.25","0.81"
"1235","興泰","28.63","3.49","0.94"
"1236","宏亞","22.18","3.36","1.17"
"1256","F-鮮活","15.91","3.24","3.84"
"1262","F-綠悅","11.99","1.98","1.85"
"1301","台塑","16.45","4.51","1.77"
"1303","南亞","15.02","4.88","1.65"
"1304","台聚","15.18","3.88","0.78"
"1305","華夏","9.79","7.48","1.16"
"1307","三芳","13.79","5.09","1.79"
"1308","亞聚","16.85","4.40","1.03"
"1309","台達化","36.76","0.00","0.75"
"1310","台苯","13.47","5.67","1.50"
"1312","國喬","10.81","4.62","0.96"
"1313","聯成","-","2.21","0.58"
"1314","中石化","202.50","0.00","0.35"
"1315","達新","18.21","4.51","0.67"
"1316","上曜","-","0.00","1.41"
"1319","東陽","16.85","2.90","1.58"
"1321","大洋","157.94","0.00","1.19"
"1323","永裕","12.43","4.85","1.67"
"1324","地球","14.55","3.57","0.85"
"1325","恆大","19.65","3.56","1.06"
"1326","台化","16.99","4.36","1.66"
"1337","F-再生","13.07","2.55","0.49"
"1338","F-廣華","13.66","3.64","1.60"
"1339","昭輝","12.88","3.55","1.47"
"1340","F-勝悅","9.21","7.23","1.41"
"1402","遠東新","17.53","3.80","0.71"
"1409","新纖","19.76","4.73","0.60"
"1410","南染","14.57","5.44","1.45"
"1413","宏洲","236.67","0.00","1.11"
"1414","東和","209.33","4.78","0.45"
"1416","廣豐","-","1.58","0.99"
"1417","嘉裕","-","0.00","0.46"
"1418","東華","-","0.00","1.33"
"1419","新紡","94.36","0.95","1.53"
"1423","利華","-","0.00","0.45"
"1432","大魯閣","-","0.00","1.64"
"1434","福懋","18.72","3.82","1.00"
"1435","中福","-","0.00","0.64"
"1436","華友聯","-","2.50","1.23"
"1437","勤益控","47.88","0.00","0.53"
"1438","裕豐","40.73","0.00","0.84"
"1439","中和","1370.00","3.65","0.64"
"1440","南紡","18.07","3.32","0.87"
"1441","大東","-","0.00","0.83"
"1442","名軒","8.20","9.76","0.93"
"1443","立益","-","0.00","0.59"
"1444","力麗","22.05","5.27","0.80"
"1445","大宇","14.85","5.18","0.69"
"1446","宏和","-","1.46","1.58"
"1447","力鵬","276.67","6.02","0.69"
"1449","佳和","-","0.00","0.68"
"1451","年興","14.50","6.12","0.98"
"1452","宏益","8.75","7.38","1.32"
"1453","大將","14.47","2.23","0.79"
"1454","台富","11.73","5.39","0.73"
"1455","集盛","41.00","2.22","0.74"
"1456","怡華","6.68","0.00","0.71"
"1457","宜進","6.90","5.08","0.78"
"1459","聯發","13.96","1.99","0.94"
"1460","宏遠","15.39","5.05","1.44"
"1463","強盛","34.31","4.00","1.45"
"1464","得力","27.01","6.08","2.36"
"1465","偉全","14.65","6.14","0.83"
"1466","聚隆","212.14","3.37","0.89"
"1467","南緯","1425.00","3.51","1.36"
"1468","昶和","-","0.00","1.39"
"1469","理隆","-","0.00","0.87"
"1470","大統染","26.62","3.17","1.69"
"1471","首利","-","0.00","0.50"
"1472","三洋紡","-","0.00","2.16"
"1473","台南","59.08","3.13","1.39"
"1474","弘裕","14.50","4.93","0.72"
"1475","本盟","5.17","0.00","1.21"
"1476","儒鴻","26.49","2.48","9.39"
"1477","聚陽","17.82","4.92","4.25"
"1503","士電","16.55","3.79","0.96"
"1504","東元","16.41","3.05","1.10"
"1506","正道","57.24","0.00","1.62"
"1507","永大","10.14","5.88","1.56"
"1512","瑞利","-","0.00","0.65"
"1513","中興電","13.47","5.54","1.01"
"1514","亞力","15.78","5.16","0.69"
"1515","力山","15.57","4.59","0.82"
"1516","川飛","9.12","9.88","1.88"
"1517","利奇","18.44","4.44","0.72"
"1519","華城","18.78","3.72","1.34"
"1521","大億","13.83","6.13","3.48"
"1522","堤維西","10.51","5.87","1.34"
"1524","耿鼎","-","0.00","0.71"
"1525","江申","16.48","1.35","2.13"
"1526","日馳","9.14","3.02","1.10"
"1527","鑽全","9.52","4.37","2.68"
"1528","恩德","-","0.97","0.81"
"1529","樂士","-","0.00","2.64"
"1530","亞崴","10.10","3.32","1.06"
"1531","高林股","21.90","3.47","0.78"
"1532","勤美","10.37","7.08","0.93"
"1533","車王電","32.91","0.88","2.35"
"1535","中宇","14.11","5.17","2.05"
"1536","和大","30.30","2.29","8.62"
"1537","廣隆","15.11","5.28","3.47"
"1538","正峰新","-","0.00","0.62"
"1539","巨庭","9.09","3.86","2.05"
"1540","喬福","8.05","5.83","0.98"
"1541","錩泰","15.46","5.78","3.67"
"1558","伸興","10.47","6.40","2.07"
"1560","中砂","12.80","6.98","1.97"
"1568","倉佑","19.48","3.83","1.78"
"1582","信錦","10.21","8.35","1.44"
"1583","程泰","10.85","2.23","1.81"
"1589","F-永冠","19.96","3.72","2.56"
"1590","F-亞德","24.87","2.11","3.32"
"1592","F-英瑞","15.60","3.32","0.98"
"1603","華電","6.89","3.70","0.58"
"1604","聲寶","13.06","7.43","0.90"
"1605","華新","18.57","2.34","0.49"
"1608","華榮","-","0.00","0.44"
"1609","大亞","-","0.00","0.39"
"1611","中電","306.33","0.00","0.70"
"1612","宏泰","66.08","3.03","0.61"
"1613","台一","-","0.00","0.54"
"1614","三洋電","24.85","3.29","1.26"
"1615","大山","80.25","3.12","0.74"
"1616","億泰","4.31","0.00","0.47"
"1617","榮星","17.72","4.34","0.61"
"1618","合機","18.69","2.38","0.51"
"1626","F-艾美","-","0.00","1.03"
"1701","中化","16.26","3.10","1.06"
"1702","南僑","13.90","4.17","2.81"
"1704","榮化","2.85","4.50","1.16"
"1707","葡萄王","22.86","3.04","6.91"
"1708","東鹼","11.96","3.37","1.10"
"1709","和益","11.22","7.23","1.09"
"1710","東聯","-","2.46","1.18"
"1711","永光","18.70","4.95","1.38"
"1712","興農","14.17","4.15","0.94"
"1713","國化","34.35","2.59","1.07"
"1714","和桐","20.22","4.01","0.63"
"1715","萬洲","25.82","3.95","0.77"
"1717","長興","11.69","7.00","1.54"
"1718","中纖","16.98","7.36","0.45"
"1720","生達","17.87","4.30","1.76"
"1721","三晃","17.89","0.00","1.31"
"1722","台肥","19.62","4.32","0.90"
"1723","中碳","21.18","3.96","4.07"
"1724","台硝","10.24","5.85","1.10"
"1725","元禎","12.54","5.55","1.05"
"1726","永記","13.38","4.90","1.58"
"1727","中華化","15.67","3.55","1.10"
"1729","必翔","-","1.72","4.67"
"1730","花仙子","13.39","4.65","1.98"
"1731","美吾華","25.25","3.36","1.14"
"1732","毛寶","-","0.00","1.29"
"1733","五鼎","17.69","4.82","2.40"
"1734","杏輝","326.11","2.04","1.47"
"1735","日勝化","10.80","7.41","0.91"
"1736","喬山","28.59","2.93","1.81"
"1737","臺鹽","21.49","3.89","0.98"
"1762","中化生","9.77","3.86","1.64"
"1773","勝一","10.75","6.84","1.64"
"1783","和康生","-","0.00","2.05"
"1786","科妍","58.40","0.81","3.37"
"1789","神隆","57.01","1.41","3.68"
"1802","台玻","-","0.00","0.77"
"1805","寶徠","5.11","6.90","0.65"
"1806","冠軍","-","0.00","0.41"
"1808","潤隆","8.31","12.34","1.47"
"1809","中釉","27.18","1.89","0.56"
"1810","和成","24.23","3.54","0.56"
"1817","凱撒衛","12.58","5.00","1.94"
"1902","台紙","23.56","0.00","0.71"
"1903","士紙","-","0.00","2.66"
"1904","正隆","10.94","3.02","0.65"
"1905","華紙","14.01","6.03","0.66"
"1906","寶隆","15.47","1.83","0.52"
"1907","永豐餘","34.50","2.90","0.48"
"1909","榮成","11.47","7.78","0.74"
"2002","中鋼","45.71","2.23","1.18"
"2006","東鋼","15.39","5.63","0.85"
"2007","燁興","-","0.00","0.79"
"2008","高興昌","13.06","0.00","0.70"
"2009","第一銅","-","5.66","0.88"
"2010","春源","10.10","4.85","0.63"
"2012","春雨","24.82","3.60","1.04"
"2013","中鋼構","24.78","2.24","0.98"
"2014","中鴻","-","0.00","1.25"
"2015","豐興","12.22","5.95","1.50"
"2017","官田鋼","-","0.00","0.61"
"2020","美亞","-","6.35","1.10"
"2022","聚亨","-","0.00","0.48"
"2023","燁輝","-","6.43","0.52"
"2024","志聯","20.51","4.18","0.65"
"2025","千興","-","0.00","0.40"
"2027","大成鋼","-","5.30","1.03"
"2028","威致","-","0.00","1.13"
"2029","盛餘","-","5.28","0.79"
"2030","彰源","-","10.05","0.87"
"2031","新光鋼","-","2.08","0.96"
"2032","新鋼","36.04","2.13","0.75"
"2033","佳大","-","0.00","0.84"
"2034","允強","16.63","6.26","1.26"
"2038","海光","-","0.00","0.40"
"2049","上銀","23.36","1.61","2.81"
"2059","川湖","18.41","2.42","4.39"
"2062","橋椿","10.55","2.48","1.28"
"2069","運錩","32.32","5.52","0.88"
"2101","南港","33.20","0.62","2.25"
"2102","泰豐","12.31","2.68","0.66"
"2103","台橡","42.58","3.89","1.39"
"2104","中橡","16.79","4.72","0.84"
"2105","正新","16.42","4.64","2.35"
"2106","建大","12.67","4.69","2.02"
"2107","厚生","10.96","4.82","0.72"
"2108","南帝","9.89","9.29","1.65"
"2109","華豐","39.38","3.17","1.02"
"2114","鑫永銓","13.05","6.18","2.46"
"2115","F-六暉","15.02","4.43","1.80"
"2201","裕隆","14.53","2.88","0.68"
"2204","中華","10.09","6.49","0.65"
"2206","三陽","5.99","4.65","1.11"
"2207","和泰車","19.78","2.97","4.91"
"2208","台船","25.48","3.12","0.86"
"2227","裕日車","14.87","14.53","2.82"
"2228","劍麟","23.70","2.30","4.41"
"2231","為升","29.23","2.55","13.07"
"2236","F-百達","28.44","2.75","1.55"
"2239","F-英利","23.24","2.48","2.25"
"2301","光寶科","12.56","5.70","1.19"
"2302","麗正","203.00","0.33","0.59"
"2303","聯電","12.31","4.14","0.73"
"2305","全友","5.20","0.00","0.64"
"2308","台達電","19.72","3.52","2.97"
"2311","日月光","14.69","5.34","1.82"
"2312","金寶","10.29","0.00","0.87"
"2313","華通","8.55","4.85","1.18"
"2314","台揚","94.20","0.00","1.88"
"2316","楠梓電","1.92","15.15","0.89"
"2317","鴻海","9.03","5.07","1.32"
"2321","東訊","-","0.00","12.86"
"2323","中環","-","0.00","0.30"
"2324","仁寶","10.20","7.43","0.85"
"2325","矽品","18.51","7.31","2.30"
"2327","國巨","9.47","7.53","1.37"
"2328","廣宇","23.57","2.20","0.68"
"2329","華泰","10.04","0.00","1.75"
"2330","台積電","13.71","3.70","3.44"
"2331","精英","9.71","9.95","0.78"
"2332","友訊","-","2.43","0.61"
"2337","旺宏","-","0.00","0.82"
"2338","光罩","-","3.32","0.57"
"2340","光磊","10.95","8.70","0.81"
"2342","茂矽","-","0.00","1.17"
"2344","華邦電","10.27","1.06","0.87"
"2345","智邦","16.15","5.57","2.30"
"2347","聯強","16.49","6.03","1.23"
"2348","海悅","27.36","1.72","2.28"
"2349","錸德","-","0.00","0.45"
"2351","順德","10.46","6.05","1.24"
"2352","佳世達","9.45","5.29","0.75"
"2353","宏碁","61.75","4.05","0.57"
"2354","鴻準","8.26","3.60","1.11"
"2355","敬鵬","11.69","4.48","1.51"
"2356","英業達","13.16","8.58","1.30"
"2357","華碩","12.55","5.19","1.28"
