上櫃股票個股本益比、殖利率、股價淨值比(依日期查詢)
資料日期:104/04/21
產業類別:全部
股票代號,名稱,本益比,殖利率(%),股價淨值比
"1256","F-鮮活","21.62","3.05","6.42"
"1258","F-其祥","10.11","4.71","1.41"
"1259","安心","23.74","3.39","1.42"
"1264","德麥","18.35","0.00","4.21"
"1333","恩得利","N/A","0.00","1.43"
"1336","台翰","N/A","0.00","0.51"
"1565","精華","16.76","4.56","6.08"
"1566","捷邦","54.20","0.00","1.54"
"1569","濱川","N/A","0.00","0.72"
"1570","力肯","10.57","0.00","1.55"
"1580","新麥","16.80","4.65","5.07"
"1584","精剛","N/A","0.00","1.13"
"1586","和勤","23.79","3.39","1.24"
"1591","F-駿吉","23.58","4.21","2.54"
"1593","祺驊","20.87","4.80","1.94"
"1595","川寶","10.49","5.66","1.67"
"1597","直得","98.86","1.45","1.51"
"1599","宏佳騰","22.53","5.77","1.33"
"1742","台蠟","N/A","0.00","2.28"
"1752","南光","57.37","1.15","2.67"
"1777","生泰","16.43","3.70","2.67"
"1781","合世","N/A","0.00","2.39"
"1784","訊聯","46.85","1.68","1.77"
"1785","光洋科","23.74","3.04","1.15"
"1787","福盈科","14.26","6.22","1.53"
"1788","杏昌","14.82","5.37","2.18"
"1795","美時","N/A","0.00","2.82"
"1799","紅電醫","N/A","0.00","3.37"
"1813","寶利徠","14.81","3.23","1.48"
"1815","富喬","105.00","1.47","0.85"
"2035","唐榮","49.60","0.00","2.69"
"2061","風青","N/A","0.00","1.64"
"2063","世鎧","15.80","5.45","1.94"
"2064","晉椿","8.72","8.13","1.16"
"2066","世德","18.83","4.45","4.43"
"2067","嘉鋼","19.23","4.68","1.24"
"2221","大甲","25.21","1.73","1.35"
"2230","泰茂","25.00","4.57","1.25"
"2233","宇隆","15.87","5.00","2.26"
"2235","謚源","20.40","3.60","3.89"
"2596","綠意","7.47","8.82","1.03"
"2636","台驊","14.30","5.79","1.52"
"2640","大車隊","18.56","4.78","3.88"
"2641","正德","19.72","1.88","0.86"
"2718","桃園店","35.45","0.00","1.55"
"2719","燦星旅","29.44","6.62","1.66"
"2724","F-富驛","17.94","0.85","1.33"
"2726","F-雅茗","17.86","3.33","2.49"
"2729","瓦城","24.06","3.82","3.40"
"2732","六角","19.88","3.96","5.05"
"2734","易飛網","18.12","4.85","1.68"
"2916","滿心","15.20","5.84","1.14"
"2924","F-東凌","31.16","2.84","2.86"
"2926","誠品生","19.77","4.28","4.89"
"3064","泰偉","N/A","0.00","2.38"
"3066","李洲","N/A","0.00","1.05"
"3067","全域","102.35","0.00","1.68"
"3068","美磊","23.93","2.69","2.07"
"3071","協禧","N/A","0.00","0.79"
"3073","普格","N/A","0.00","1.33"
"3078","僑威","10.89","6.87","1.39"
"3083","網龍","N/A","0.00","3.00"
"3085","久大","N/A","0.00","2.45"
"3086","華義","N/A","0.00","2.36"
"3088","艾訊","15.71","5.36","3.74"
"3089","遠昇","N/A","0.00","1.54"
"3092","鴻碩","18.76","0.00","1.06"
"3093","港建","21.02","4.23","1.76"
"3095","及成","N/A","0.00","1.54"
"3105","穩懋","15.66","3.61","1.93"
"3114","好德","13.84","4.98","0.96"
"3115","寶島極","29.58","0.00","1.48"
"3118","進階","14.94","5.65","2.25"
"3122","笙泉","15.79","3.70","2.01"
"3128","昇銳","N/A","0.00","1.39"
"3131","弘塑","12.44","5.07","2.52"
"3141","晶宏","21.99","2.65","2.02"
"3144","新揚科","10.89","5.96","1.84"
