開盤價         最高價         最低價         最後成交價     成交量         未沖銷契約量   日期
9897           9911           9824           9886           0              112699         2015-5-4
9866           9878           9814           9849           0              102568         2015-5-5
9802           9865           9763           9847           0              117999         2015-5-6
9786           9808           9745           9753           0              130534         2015-5-7
9769           9783           9713           9721           0              92550          2015-5-8
9800           9814           9657           9723           0              155184         2015-5-11
9707           9748           9673           9706           0              115207         2015-5-12
9712           9776           9697           9739           0              114681         2015-5-13
9737           9741           9599           9604           0              138661         2015-5-14
9635           9642           9541           9575           0              129471         2015-5-15
9612           9614           9552           9598           0              102650         2015-5-18
9616           9723           9602           9702           0              131463         2015-5-19
9704           9725           9657           9668           0              73133          2015-5-20
9645           9648           9512           9541           0              128659         2015-5-21
9562           9649           9546           9625           0              110540         2015-5-22
9603           9640           9550           9630           0              94010          2015-5-25
9613           9725           9606           9659           0              113898         2015-5-26
9607           9698           9601           9661           0              109490         2015-5-27
9711           9750           9683           9731           0              113114         2015-5-28
9741           9765           9688           9703           0              105530         2015-5-29
