開盤價         最高價         最低價         最後成交價     成交量         未沖銷契約量   日期
9658           9683           9615           9631           77036          62267          2015-3-2
9645           9658           9580           9614           88385          64091          2015-3-3
9580           9638           9571           9622           73997          63675          2015-3-4
9622           9632           9551           9589           94585          63596          2015-3-5
9591           9644           9566           9638           87662          64717          2015-3-6
9580           9595           9547           9576           89409          65426          2015-3-9
9574           9585           9514           9528           103983         66104          2015-3-10
9466           9544           9450           9519           103946         65168          2015-3-11
9529           9609           9508           9607           101568         65737          2015-3-12
9616           9634           9584           9598           82971          58741          2015-3-13
9585           9594           9535           9546           100282         45975          2015-3-16
9580           9644           9547           9554           123433         33756          2015-3-17
9558           9649           9558           9633           67737          23459          2015-3-18
9734           9769           9708           9766           100024         67293          2015-3-19
9742           9770           9733           9757           66890          68653          2015-3-20
9761           9769           9726           9749           75804          67038          2015-3-23
9728           9755           9696           9721           89879          66756          2015-3-24
9721           9731           9673           9689           95109          65742          2015-3-25
9580           9635           9567           9609           110206         65037          2015-3-26
9609           9628           9525           9541           126327         69172          2015-3-27
9511           9562           9511           9552           83437          69804          2015-3-30
9600           9610           9545           9582           98624          67892          2015-3-31
9540           9552           9487           9507           111444         70226          2015-4-1
9538           9630           9535           9613           114119         66997          2015-4-2
9653           9660           9612           9629           72558          66137          2015-4-7
9633           9635           9558           9570           93175          66108          2015-4-8
9579           9676           9564           9572           149624         63800          2015-4-9
9628           9665           9592           9631           120457         61304          2015-4-10
9673           9683           9633           9658           93462          46037          2015-4-13
9641           9672           9626           9645           84520          34603          2015-4-14
9626           9654           9507           9519           83539          21668          2015-4-15
9561           9649           9548           9647           125788         59584          2015-4-16
9619           9629           9569           9584           105924         60329          2015-4-17
9530           9583           9506           9561           124844         64415          2015-4-20
9585           9613           9535           9556           109112         69114          2015-4-21
9561           9636           9561           9613           140112         61994          2015-4-22
9656           9854           9652           9838           186347         70807          2015-4-23
9880           10000          9860           9920           206172         70625          2015-4-24
9958           10031          9945           10019          147811         78010          2015-4-27
10022          10033          9963           9990           105272         78005          2015-4-28
9978           10022          9882           9909           173931         80383          2015-4-29
9902           9930           9858           9874           130960         82366          2015-4-30
9324           9347           9269           9308           125037         72561          2015-4-31
9897           9911           9824           9886           112699         83389          2015-5-4
9866           9878           9814           9849           102568         82245          2015-5-5
9802           9865           9763           9847           117999         84210          2015-5-6
9786           9808           9745           9753           130534         82567          2015-5-7
9769           9783           9713           9721           92550          83315          2015-5-8
9800           9814           9657           9723           155184         84693          2015-5-11
9707           9748           9673           9706           115207         85899          2015-5-12
9712           9776           9697           9739           114681         86598          2015-5-13
9737           9741           9599           9604           138661         83769          2015-5-14
9635           9642           9541           9575           129471         75431          2015-5-15
9612           9614           9552           9598           102650         58654          2015-5-18
9616           9723           9602           9702           131463         40242          2015-5-19
9704           9725           9657           9668           73133          28565          2015-5-20
9645           9648           9512           9541           128659         75045          2015-5-21
9562           9649           9546           9625           110540         71729          2015-5-22
9603           9640           9550           9630           94010          72597          2015-5-25
9613           9725           9606           9659           113898         70641          2015-5-26
9607           9698           9601           9661           109490         71025          2015-5-27
9711           9750           9683           9731           113114         71707          2015-5-28
9741           9765           9688           9703           105530         71949          2015-5-29
9668           9713           9601           9630           117845         74621          2015-6-1
9586           9639           9565           9607           103681         74102          2015-6-2
9640           9648           9535           9547           124180         73411          2015-6-3
9531           9553           9301           9310           202135         74137          2015-6-4
9324           9347           9269           9308           125037         72561          2015-6-5
9324           9347           9269           9308           125037         72561          2015-6-31
