排名,代號,名稱,市場,股價日期,當日走勢,成交,漲跌價,漲跌幅,成交張數,面值(元),股本(億),市值(億),成立年數,上市年數,產業別,董事長,總經理
1,2330,台積電,市,07/06,    ,207.5,-1,-0.48%,15261,10,2593,53806,30.4,22.8,半導體業,張忠謀,劉德音及魏哲家
2,2317,鴻海,市,07/06,    ,115.5,-0.5,-0.43%,31861,10,1733,20015,43.4,26.1,其他電子業,郭台銘,郭台銘
3,6505,台塑化,市,07/06,    ,104.5,-1,-0.95%,2965,10,953,9955,25.3,13.5,油電燃氣業,陳郎,曹明
4,2412,中華電,市,07/06,    ,108.5,-0.5,-0.46%,7767,10,776,8417,21.1,16.7,通信網路業,鄭優,謝繼茂
5,3008,大立光,市,07/06,    ,4970,155,+3.22%,595,10,13.4,6667,30.2,15.3,光電業,林恩舟,林恩平
6,2882,國泰金,市,07/06,    ,48.75,-0.25,-0.51%,17914,10,1340,6531,15.5,15.5,金控業,蔡宏圖,李長庚
7,1303,南亞,市,07/06,    ,75.6,-0.2,-0.26%,7844,10,793,5996,58.9,49.7,塑膠工業,吳嘉昭,鄒明仁
8,1301,台塑,市,07/06,    ,93.9,0,0%,5883,10,637,5977,62.7,52.9,塑膠工業,林健男,林健男
9,1326,台化,市,07/06,    ,90.8,0.3,+0.33%,10031,10,586,5322,52.3,32.5,塑膠工業,王文淵,黃棟騰
10,2881,富邦金,市,07/06,    ,46.9,-0.1,-0.21%,11899,10,1083,5081,15.5,15.5,金控業,蔡明興,許婉美
11,2308,台達電,市,07/06,    ,161,-1,-0.62%,4504,10,260,4182,41.9,28.5,電子零組件業,海英俊,李忠傑
12,2002,中鋼,市,07/06,    ,25.85,0.15,+0.58%,26489,10,1577,4077,45.6,42.5,鋼鐵工業,翁朝棟,劉季剛
13,2454,聯發科,市,07/06,    ,253,-2.5,-0.98%,9483,10,158,4001,20.1,16,半導體業,蔡明介,謝清江
14,3045,台灣大,市,07/06,    ,115,0,0%,3409,10,342,3934,20.4,14.9,通信網路業,蔡明忠,鄭俊卿
15,2891,中信金,市,07/06,    ,20.15,-0.05,-0.25%,41649,10,1950,3929,15.1,15.1,金控業,顏文隆,吳一揆
16,2886,兆豐金,市,07/06,    ,25.6,-0.05,-0.19%,16028,10,1360,3482,15.4,15.4,金控業,張兆順,楊豊彥
17,1216,統一,市,07/06,    ,61.1,0.1,+0.16%,3600,10,568,3472,49.9,29.5,食品工業,羅智先,侯榮隆
18,2311,日月光,市,07/06,    ,39,0.25,+0.65%,12005,10,827,3227,33.3,28,半導體業,張虔生,張洪本
19,2474,可成,市,07/06,    ,374,4,+1.08%,4617,10,77,2881,32.6,15.8,其他電子業,洪水樹,洪天賜
20,2912,統一超,市,07/06,    ,272,0.5,+0.18%,1253,10,104,2828,30.1,19.9,貿易百貨業,羅智先,陳瑞堂
21,2382,廣達,市,07/06,    ,71.6,-0.2,-0.28%,5256,10,386,2766,29.2,18.5,電腦及週邊設備業,林百里,梁次震
22,4904,遠傳,市,07/06,    ,78.6,-0.4,-0.51%,5237,10,326,2561,20.2,11.9,通信網路業,徐旭東,李彬
23,4938,和碩,市,07/06,    ,98.2,0,0%,3490,10,257,2528,10,7,電腦及週邊設備業,童子賢,廖賜政
24,2892,第一金,市,07/06,    ,20.4,0,0%,12053,10,1198,2443,14.5,14.5,金控業,蔡慶年,鄭美玲
25,2357,華碩,市,07/06,    ,290,1,+0.35%,1050,10,74.3,2154,27.3,20.6,電腦及週邊設備業,施崇棠,沈振來
26,2105,正新,市,07/06,    ,64.9,0,0%,5491,10,324,2104,47.5,29.6,橡膠工業,羅才仁,羅才仁
