排名,代號,名稱,市場,股本(億),市值(億),上市年數,產業別,董事長
1,2330,台積電,上市,2593,37728,20.7,半導體業,張忠謀
2,2317,鴻海,上市,1479,14276,23.9,其他電子業,郭台銘
3,2412,中華電,上市,776,7618,14.6,通信網路業,蔡力行
4,6505,台塑化,上市,953,7487,11.4,油電燃氣業,陳郎
5,2882,國泰金,上市,1256,6759,13.4,金控業,蔡宏圖
6,2454,聯發科,上市,157,6443,13.8,半導體業,蔡明介
7,2881,富邦金,上市,1023,6427,13.4,金控業,蔡明忠
8,1303,南亞,上市,793,5829,47.5,塑膠工業,吳嘉昭
9,1301,台塑,上市,637,4927,50.8,塑膠工業,李志村
10,3008,大立光,上市,13.4,4641,13.2,光電業,林恩舟
11,1326,台化,上市,586,4595,30.4,塑膠工業,王文淵
12,2308,台達電,上市,244,4156,26.4,電子零組件業,海英俊
13,2002,中鋼,上市,1577,4022,40.4,鋼鐵工業,鄒若齊
14,3045,台灣大,上市,342,3643,12.7,通信網路業,蔡明興
15,2891,中信金,上市,1526,3494,13,金控業,顏文隆
16,2311,日月光,上市,789,3392,25.8,半導體業,張虔生
17,2886,兆豐金,上市,1245,3355,13.3,金控業,蔡友才
18,2382,廣達,上市,386,3028,16.4,電腦及週邊設備業,林百里
19,1216,統一,上市,546,2956,27.4,食品工業,羅智先
20,2474,可成,上市,77,2719,13.7,其他電子業,洪水樹
21,2207,和泰車,上市,54.6,2709,18.2,汽車工業,黃南光
22,4904,遠傳,上市,326,2346,9.7,通信網路業,徐旭東
23,3474,華亞科,上市,655,2315,9.2,半導體業,高啟全
24,2912,統一超,上市,104,2313,17.7,貿易百貨業,羅智先
25,2357,華碩,上市,74.3,2273,18.5,電腦及週邊設備業,施崇棠
26,2105,正新,上市,324,2259,27.5,橡膠工業,羅才仁
27,4938,和碩,上市,252,2251,4.9,電腦及週邊設備業,童子賢
28,2883,開發金,上市,1535,1835,13.4,金控業,陳木在
29,1402,遠東新,上市,525,1784,48.1,紡織纖維,徐旭東
30,2303,聯電,上市,1275,1772,29.9,半導體業,洪嘉聰
31,3481,群創,上市,995,1772,8.6,光電業,段行建
32,2892,第一金,上市,926,1764,12.4,金控業,蔡慶年
33,2885,元大金,上市,1014,1759,13.3,金控業,王榮周
34,5880,合庫金,上市,1054,1729,3.5,金控業,廖燦昌
35,2880,華南金,上市,933,1721,13.4,金控業,劉燈城
36,2408,南亞科,上市,243,1657,14.8,半導體業,吳嘉昭
37,3658,漢微科,上櫃,7.1,1629,3,半導體業,許金榮
38,2409,友達,上市,962,1598,14.7,光電業,彭又又浪
39,2325,矽品,上市,312,1555,22.1,半導體業,林文伯
40,1101,台泥,上市,369,1541,53.3,水泥工業,辜成允
41,2395,研華,上市,63.2,1528,15.4,電腦及週邊設備業,劉克振
42,2884,玉山金,上市,705,1456,13.3,金控業,黃永仁
43,2801,彰銀,上市,790,1419,53.3,銀行業,張明道
44,2354,鴻準,上市,138,1390,18.6,其他電子業,林棟樑
45,9904,寶成,上市,294,1373,25.3,其他業,詹陸銘
46,2890,永豐金,上市,948,1337,13,金控業,何壽川
47,1102,亞泥,上市,336,1291,53,水泥工業,徐旭東
