排名,代號,名稱,市場,股本(億),市值(億),上市年數,產業別,董事長,總經理,
1,2330,台積電,市,2593,53806,22.8,半導體業,張忠謀,劉德音及魏哲家,
2,2317,鴻海,市,1733,20015,26.1,其他電子業,郭台銘,郭台銘,
3,6505,台塑化,市,953,9955,13.5,油電燃氣業,陳郎,曹明,
4,2412,中華電,市,776,8417,16.7,通信網路業,鄭優,謝繼茂,
5,3008,大立光,市,13.4,6667,15.3,光電業,林恩舟,林恩平,
6,2882,國泰金,市,1340,6531,15.5,金控業,蔡宏圖,李長庚,
7,1303,南亞,市,793,5996,49.7,塑膠工業,吳嘉昭,鄒明仁,
8,1301,台塑,市,637,5977,52.9,塑膠工業,林健男,林健男,
9,1326,台化,市,586,5322,32.5,塑膠工業,王文淵,黃棟騰,
10,2881,富邦金,市,1083,5081,15.5,金控業,蔡明興,許婉美,
11,2308,台達電,市,260,4182,28.5,電子零組件業,海英俊,李忠傑,
12,2002,中鋼,市,1577,4077,42.5,鋼鐵工業,翁朝棟,劉季剛,
13,2454,聯發科,市,158,4001,16,半導體業,蔡明介,謝清江,
14,3045,台灣大,市,342,3934,14.9,通信網路業,蔡明忠,鄭俊卿,
15,2891,中信金,市,1950,3929,15.1,金控業,顏文隆,吳一揆,
16,2886,兆豐金,市,1360,3482,15.4,金控業,張兆順,楊豊彥,
17,1216,統一,市,568,3472,29.5,食品工業,羅智先,侯榮隆,
18,2311,日月光,市,827,3227,28,半導體業,張虔生,張洪本,
19,2474,可成,市,77,2881,15.8,其他電子業,洪水樹,洪天賜,
20,2912,統一超,市,104,2828,19.9,貿易百貨業,羅智先,陳瑞堂,
21,2382,廣達,市,386,2766,18.5,電腦及週邊設備業,林百里,梁次震,
22,4904,遠傳,市,326,2561,11.9,通信網路業,徐旭東,李彬,
23,4938,和碩,市,257,2528,7,電腦及週邊設備業,童子賢,廖賜政,
24,2892,第一金,市,1198,2443,14.5,金控業,蔡慶年,鄭美玲,
25,2357,華碩,市,74.3,2154,20.6,電腦及週邊設備業,施崇棠,沈振來,
26,2105,正新,市,324,2104,29.6,橡膠工業,羅才仁,羅才仁,
27,2207,和泰車,市,54.6,2073,20.4,汽車工業,黃南光,蘇純興,
28,5880,合庫金,市,1185,1931,5.6,金控業,廖燦昌,林士朗,
29,2880,華南金,市,1052,1852,15.5,金控業,吳當傑,羅寶珠,
30,2303,聯電,市,1262,1824,32,半導體業,洪嘉聰,簡山傑、王石,
31,2884,玉山金,市,947,1765,15.4,金控業,黃永仁,黃男州,
32,2885,元大金,市,1210,1664,15.4,金控業,王榮周,申鼎籛,
33,3481,群創,市,995,1577,10.7,光電業,王志超,蕭志弘,
34,2801,彰銀,市,896,1555,55.4,銀行業,張明道,施建安,
35,2325,矽品,市,312,1549,24.2,半導體業,林文伯,蔡祺文,
36,2408,南亞科,市,275,1512,16.9,半導體業,吳嘉昭,李培瑛,
37,2887,台新金,市,1036,1445,15.4,金控業,吳東亮,饒世湛,
38,2633,台灣高鐵,市,563,1421,0.7,航運業,江耀宗,執行長鄭光遠,
39,2395,研華,市,63.3,1346,17.6,電腦及週邊設備業,劉克振,何春盛,
40,1402,遠東新,市,535,1341,50.2,紡織纖維,徐旭東,"吳高山,曾裕賢,胡正隆,鄭澄宇",
41,1101,台泥,市,369,1309,55.4,水泥工業,張安平,張安平,
42,2354,鴻準,市,141,1287,20.7,其他電子業,洪誌謙,李翰明,
43,2409,友達,市,962,1266,16.8,光電業,彭又又浪,蔡國新,
44,2883,開發金,市,1498,1256,15.5,金控業,張家祝,許道義代理,
45,9904,寶成,市,295,1236,27.5,其他業,詹陸銘,盧金柱,
46,2301,光寶科,市,235,1175,21.6,電腦及週邊設備業,宋恭源,陳廣中,
47,2823,中壽,市,347,1075,22.4,保險業,王銘陽,郭瑜玲,
48,1476,儒鴻,市,26.9,1011,16.2,紡織纖維,洪鎮海,蔡俊嶔/陳坤鎕,
49,2890,永豐金,市,1069,998,15.2,金控業,翁文祺,莊銘福 暫代,
50,8464,億豐,市,29.3,996,1.5,其他業,粘耿豪,粘耿豪,
51,5871,中租-KY,市,114,972,5.6,其他業,陳鳳龍,陳鳳龍,
52,6488,環球晶,櫃,43.7,953,1.8,半導體業,徐秀蘭,Mark England,
53,9910,豐泰,市,66.8,918,25.4,其他業,王秋雄,王建弘,
54,5347,世界,櫃,164,911,19.3,半導體業,方略,方略,
55,2324,仁寶,市,442,904,25.4,電腦及週邊設備業,許勝雄,陳瑞聰,
56,2356,英業達,市,359,904,20.6,電腦及週邊設備業,卓桐華,巫永財,
57,1102,亞泥,市,336,894,55.1,水泥工業,徐旭東,李坤炎,
58,2227,裕日車,市,30,842,12.5,汽車工業,嚴凱泰,李振成,
59,2888,新光金,市,1023,831,15.4,金控業,吳東進,李紀珠,
60,3231,緯創,市,267,813,13.9,電腦及週邊設備業,林憲銘,黃柏漙,
